Clone ID,Titer (g/L),Viability (%),VCD (10⁶ cells/mL),Growth Rate,Stable,Glycosylation,Aggregates (%),Score
Clone_001,3.36,86.2,8.0,0.0405,Yes,Poor,2.5,0.775
Clone_002,1.42,87.1,8.0,0.0379,Yes,Good,7.1,0.516
Clone_003,2.28,86.7,8.0,0.0371,Yes,Optimal,0.8,0.832
Clone_004,4.36,95.5,8.0,0.0281,Yes,Optimal,5.4,0.9
Clone_005,2.31,93.9,8.0,0.0375,No,Good,2.3,0.503
Clone_006,2.45,89.5,8.0,0.0218,No,Optimal,1.2,0.618
Clone_007,3.42,95.5,8.0,0.044,Yes,Poor,3.2,0.81
Clone_008,1.99,80.0,8.0,0.05,Yes,Good,0.8,0.659
Clone_009,2.11,91.6,8.0,0.0288,Yes,Optimal,3.9,0.812
Clone_010,3.72,87.8,8.0,0.0335,Yes,Good,4.6,0.792
Clone_011,4.49,94.1,8.0,0.037,Yes,Optimal,6.6,0.927
Clone_012,4.5,87.6,8.0,0.0382,Yes,Optimal,2.4,1.014
Clone_013,2.1,80.7,6.81,0.0155,Yes,Poor,5.5,0.504
Clone_014,4.25,90.1,8.0,0.0296,Yes,Poor,6.8,0.731
Clone_015,1.36,94.6,8.0,0.0257,Yes,Optimal,5.5,0.653
Clone_016,1.18,90.1,8.0,0.0281,Yes,Poor,6.9,0.483
Clone_017,2.97,87.2,8.0,0.0297,Yes,Good,1.9,0.721
Clone_018,0.48,89.0,8.0,0.0436,Yes,Optimal,0.5,0.708
Clone_019,2.94,80.8,8.0,0.0256,No,Optimal,4.1,0.644
Clone_020,3.62,89.3,8.0,0.0338,No,Optimal,4.1,0.738
Clone_021,2.21,95.5,8.0,0.0385,Yes,Optimal,1.2,0.851
Clone_022,0.31,88.7,8.0,0.0435,Yes,Optimal,3.7,0.693
Clone_023,1.19,92.6,8.0,0.0248,Yes,Optimal,2.1,0.732
Clone_024,5.34,87.6,8.0,0.0273,Yes,Optimal,2.4,1.03
Clone_025,2.33,82.8,8.0,0.0227,Yes,Optimal,3.4,0.794
Clone_026,1.91,95.5,8.0,0.035,Yes,Optimal,2.9,0.819
Clone_027,2.55,91.4,8.0,0.0425,No,Poor,1.2,0.527
Clone_028,3.81,90.2,8.0,0.0382,Yes,Optimal,0.6,0.965
Clone_029,3.36,84.0,8.0,0.0321,Yes,Optimal,4.7,0.9
